A2M	NM_000014.4
FANCC	NM_000136.2
FANCD2	NM_033084.3
FANCE	NM_021922.2
FANCF	NM_022725.3
FANCG	NM_004629.1
FANCI	NM_001113378.1
FANCL	NM_018062.3
FANCM	NM_020937.2
FAP	NM_004460.3
FAR1	NM_032228.5
FARP2	NM_014808.3
FARS2	NM_006567.3
FARSA	NM_004461.2
FAS	NM_000043.4
FASLG	NM_000639.2
FASN	NM_004104.4
FASTKD2	NM_001136194.1
FASTKD2	NM_014929.3
FAT1	NM_005245.3
FAT2	NM_001447.2
FAT3	NM_001008781.2
FAT4	NM_024582.4
FAXDC2	NM_032385.3
FBLIM1	NM_001024215.1
FBLN1	NM_006486.2
FBLN2	NM_001004019.1
FBLN5	NM_006329.3
FBN1	NM_000138.4
FBN2	NM_001999.3
FBN3	NM_032447.3
FBP1	NM_000507.3
FBXL17	NM_001163315.2
FBXL18	NM_024963.4
FBXL19	NM_001099784.2
FBXL4	NM_012160.4
FBXL6	NM_012162.3
FBXO10	NM_012166.2
FBXO18	NM_032807.4
FBXO2	NM_012168.5
FBXO24	NM_033506.2
FBXO31	NM_024735.4
FBXO32	NM_058229.3
FBXO38	NM_030793.4
FBXO39	NM_153230.2
FBXO45	NM_001105573.1
FBXO7	NM_012179.3
FCAR	NM_002000.3
FCER1A	NM_002001.3
FCER2	NM_002002.4
FCGR1A	NM_000566.3
FCGR2A	NM_021642.3
FCGR2B	NM_004001.4
FCGR3A	NM_000569.6
FCGR3B	NM_000570.4
FCN1	NM_002003.3
FCN2	NM_004108.2
FCN3	NM_003665.2
FCRL4	NM_031282.2
FCRL6	NM_001004310.2
FDFT1	NM_004462.4
FDPS	NM_001135822.1
FDX1L	NM_001031734.3
FECH	NM_000140.3
FEM1A	NM_018708.2
FEN1	NM_004111.5
FER	NM_005246.2
FERMT1	NM_017671.4
FERMT3	NM_031471.5
FEZF1	NM_001024613.3
FEZF2	NM_018008.3
FFAR1	NM_005303.2
FFAR4	NM_181745.3
FGA	NM_000508.3
FGA	NM_021871.2
FGB	NM_005141.4
FGD1	NM_004463.2
FGD3	NM_001083536.1
FGD4	NM_139241.3
FGD6	NM_018351.3
FGF1	NM_000800.4
FGF10	NM_004465.1
FGF12	NM_021032.4
FGF14	NM_004115.3
FGF17	NM_003867.3
FGF20	NM_019851.2
FGF22	NM_020637.1
FGF23	NM_020638.2
FGF3	NM_005247.2
FGF5	NM_004464.3
FGF8	NM_033163.3
FGF9	NM_002010.2
FGFBP1	NM_005130.4
FGFR1	NM_023110.2
FGFR2	NM_000141.4
FGFR3	NM_000142.4
FGFR4	NM_002011.4
FGFRL1	NM_001004356.2
FGG	NM_000509.4
FGL1	NM_004467.3
FH	NM_000143.3
FHL1	NM_001159699.1
FHL1	NM_001159702.2
FHL1	NM_001449.4
FHL2	NM_201555.1
FHOD3	NM_025135.3
FIBIN	NM_203371.1
FIBP	NM_198897.1
FIG4	NM_014845.5
FIGLA	NM_001004311.3
FILIP1	NM_015687.3
FKBP10	NM_021939.3
FKBP14	NM_017946.3
FKBP6	NM_003602.4
FKBPL	NM_022110.3
FKRP	NM_024301.4
FKTN	NM_001079802.1
FLAD1	NM_025207.4
FLCN	NM_144606.5
FLCN	NM_144997.5
FLG	NM_002016.1
FLG2	NM_001014342.2
FLI1	NM_002017.4
FLNA	NM_001456.3
FLNB	NM_001457.3
FLNC	NM_001458.4
FLRT1	NM_013280.4
FLRT3	NM_198391.2
FLT1	NM_002019.4
FLT3	NM_004119.2
FLT4	NM_002020.4
FLVCR1	NM_014053.3
FLVCR2	NM_017791.2
FMN1	NM_001103184.3
FMN1	NM_001277314.1
FMN2	NM_020066.4
FMO1	NM_002021.2
FMO2	NM_001460.4
FMO3	NM_006894.5
FMO4	NM_002022.2
FMO5	NM_001461.3
FMR1	NM_002024.5
FN1	NM_212482.1
FN3K	NM_022158.3
FN3KRP	NM_024619.3
FNBP4	NM_015308.2
FNIP1	NM_133372.2
FOCAD	NM_017794.4
FOLH1	NM_004476.1
FOLR1	NM_016725.2
FOXA1	NM_004496.3
FOXA2	NM_021784.4
FOXA3	NM_004497.2
FOXC1	NM_001453.2
FOXC2	NM_005251.2
FOXD3	NM_012183.2
FOXD4	NM_207305.4
FOXE1	NM_004473.3
FOXE3	NM_012186.2
FOXF1	NM_001451.2
FOXF2	NM_001452.1
FOXG1	NM_005249.4
FOXH1	NM_003923.2
FOXI1	NM_012188.4
FOXK1	NM_001037165.1
FOXL2	NM_023067.3
FOXN1	NM_003593.2
FOXN3	NM_001085471.1
FOXO3	NM_001455.3
FOXP1	NM_001244813.1
FOXP1	NM_032682.5
FOXP2	NM_014491.3
FOXP2	NM_148900.3
FOXP3	NM_014009.3
FOXP4	NM_001012426.1
FOXRED1	NM_017547.3
FPGS	NM_004957.5
FPR1	NM_002029.3
FRAS1	NM_025074.6
FREM1	NM_144966.5
FREM2	NM_207361.5
FREM3	NM_001168235.1
FRG1	NM_004477.2
FRK	NM_002031.2
FRMD4A	NM_018027.3
FRMD7	NM_194277.2
FRMPD4	NM_014728.3
FRRS1L	NM_014334.2
FRY	NM_023037.2
FRZB	NM_001463.3
FSCN2	NM_001077182.2
FSD1L	NM_001145313.2
FSHB	NM_000510.2
FSHR	NM_000145.3
FSTL5	NM_020116.4
FTCD	NM_006657.2
FTH1	NM_002032.2
FTL	NM_000146.3
FTMT	NM_177478.1
FTO	NM_001080432.2
FTSJ1	NM_012280.3
FUCA1	NM_000147.4
FUS	NM_004960.3
FUT1	NM_000148.3
FUT2	NM_000511.5
FUT3	NM_000149.3
FUT6	NM_000150.2
FUT7	NM_004479.3
FUT8	NM_178155.2
FUZ	NM_025129.4
FXN	NM_000144.4
FXYD2	NM_001680.4
FYB	NM_001465.4
FYCO1	NM_024513.3
FZD10	NM_007197.3
FZD2	NM_001466.3
FZD3	NM_017412.3
FZD4	NM_012193.3
FZD5	NM_003468.3
FZD6	NM_003506.3
G6PC	NM_000151.3
G6PC2	NM_021176.2
G6PC3	NM_138387.3
G6PD	NM_001042351.2
GAA	NM_000152.3
GABBR1	NM_001470.2
GABBR2	NM_005458.7
GABRA1	NM_000806.5
GABRA6	NM_000811.2
GABRB1	NM_000812.3
GABRB2	NM_021911.2
GABRB3	NM_000814.5
GABRB3	NM_021912.4
GABRD	NM_000815.4
GABRG2	NM_000816.3
GABRR2	NM_002043.3
GABRR3	NM_001105580.2
GAD1	NM_000817.2
GAK	NM_005255.2
GAL	NM_015973.3
GAL3ST2	NM_022134.2
GAL3ST4	NM_024637.4
GALC	NM_000153.3
GALE	NM_000403.3
GALK1	NM_000154.1
GALK2	NM_002044.3
GALNS	NM_000512.4
GALNT12	NM_024642.4
GALNT14	NM_024572.3
GALNT18	NM_198516.2
GALNT2	NM_004481.4
GALNT3	NM_004482.3
GALNT5	NM_014568.1
GALNTL5	NM_145292.3
GALP	NM_033106.3
GALT	NM_000155.3
GAMT	NM_000156.5
GAN	NM_022041.3
GANAB	NM_198335.3
GAP43	NM_001130064.1
GAPDH	NM_002046.5
GAPDHS	NM_014364.4
GAREM	NM_001242409.1
GARS	NM_002047.2
GAS1	NM_002048.2
GAS2L2	NM_139285.3
GAS6	NM_000820.3
GAS8	NM_001481.2
GATA1	NM_002049.3
GATA2	NM_032638.4
GATA3	NM_001002295.1
GATA4	NM_002052.3
GATA5	NM_080473.4
GATA6	NM_005257.5
GATAD1	NM_021167.4
GATAD2B	NM_020699.2
GATM	NM_001482.2
GBA	NM_001005741.2
GBA2	NM_020944.2
GBE1	NM_000158.3
GBF1	NM_004193.2
GBP2	NM_004120.4
GBP4	NM_052941.4
GC	NM_000583.3
GCDH	NM_000159.3
GCGR	NM_000160.4
GCH1	NM_000161.2
GCK	NM_000162.3
GCK	NM_033508.1
GCKR	NM_001486.3
GCLC	NM_001498.3
GCM2	NM_004752.3
GCNT2	NM_001491.2
GCSAML	NM_145278.4
GCSH	NM_004483.4
GDAP1	NM_018972.2
GDF1	NM_001492.5
GDF15	NM_004864.2
GDF2	NM_016204.2
GDF3	NM_020634.1
GDF5	NM_000557.4
GDF6	NM_001001557.2
GDF9	NM_005260.4
GDI1	NM_001493.2
GDNF	NM_000514.3
GDPD5	NM_030792.6
GEMIN4	NM_015721.2
GEN1	NM_182625.3
GFAP	NM_001131019.2
GFAP	NM_002055.4
GFER	NM_005262.2
GFI1	NM_005263.3
GFI1B	NM_004188.5
GFM1	NM_024996.5
GFM2	NM_032380.4
GFOD1	NM_018988.3
GFPT1	NM_001244710.1
GFPT1	NM_002056.3
GFPT2	NM_005110.2
GFRA1	NM_005264.4
GFRA2	NM_001495.4
GGA3	NM_138619.3
GGCX	NM_000821.5
GGH	NM_003878.2
GGT5	NM_004121.3
GH1	NM_000515.4
GH2	NM_002059.4
GHR	NM_000163.4
GHRH	NM_021081.4
GHRHR	NM_000823.3
GHRL	NM_016362.4
GHSR	NM_198407.2
GIF	NM_005142.2
GIGYF2	NM_001103146.1
GIMAP8	NM_175571.3
GIP	NM_004123.2
GIPC1	NM_202470.2
GIPC3	NM_133261.2
GIPR	NM_000164.2
GIT1	NM_001085454.1
GJA1	NM_000165.4
GJA10	NM_032602.1
GJA3	NM_021954.3
GJA4	NM_002060.2
GJA5	NM_005266.6
GJA8	NM_005267.4
GJA9	NM_030772.4
GJB1	NM_000166.5
GJB2	NM_004004.5
GJB3	NM_024009.2
GJB4	NM_153212.2
GJB6	NM_006783.4
GJC2	NM_020435.3
GJC3	NM_181538.2
GJD2	NM_020660.2
GJD4	NM_153368.2
GK	NM_000167.5
GLA	NM_000169.2
GLB1	NM_000404.2
GLDC	NM_000170.2
GLE1	NM_001003722.1
GLI1	NM_005269.2
GLI2	NM_005270.4
GLI3	NM_000168.5
GLIPR1L2	NM_001270396.1
GLIS2	NM_032575.2
GLIS3	NM_001042413.1
GLIS3	NM_152629.3
GLMN	NM_053274.2
GLO1	NM_006708.2
GLP1R	NM_002062.3
GLRA1	NM_000171.3
GLRA2	NM_002063.3
GLRA4	NM_001024452.2
GLRB	NM_000824.4
GLRX5	NM_016417.2
GLS	NM_014905.4
GLS2	NM_013267.3
GLTSCR1	NM_015711.3
GLUD1	NM_005271.3
GLUD2	NM_012084.3
GLUL	NM_002065.6
GLYAT	NM_201648.2
GLYCTK	NM_145262.3
GM2A	NM_000405.4
GMNN	NM_015895.4
GMPPA	NM_205847.2
GMPPB	NM_013334.3
GNA11	NM_002067.4
GNAI1	NM_002069.5
GNAI3	NM_006496.3
GNAL	NM_001142339.2
GNAL	NM_182978.3
GNAO1	NM_020988.2
GNAQ	NM_002072.4
GNAS	NM_000516.4
GNAT1	NM_144499.2
GNAT2	NM_005272.3
GNB1	NM_002074.4
GNB1L	NM_053004.2
GNB2	NM_005273.3
GNB3	NM_002075.3
GNB4	NM_021629.3
GNB5	NM_016194.3
GNE	NM_001128227.2
GNE	NM_001190388.1
GNMT	NM_018960.4
GNPAT	NM_014236.3
GNPTAB	NM_024312.4
GNPTG	NM_032520.4
GNRH1	NM_000825.3
GNRHR	NM_000406.2
GNS	NM_002076.3
GOLGA2	NM_004486.4
GOLGA3	NM_001172557.1
GOLGA5	NM_005113.3
GOLGB1	NM_001256486.1
GON4L	NM_001282860.1
GORAB	NM_152281.2
GORASP1	NM_031899.3
GOSR2	NM_004287.3
GOT1	NM_002079.2
GP1BA	NM_000173.6
GP1BB	NM_000407.4
GP2	NM_001007240.2
GP6	NM_001083899.2
GP9	NM_000174.4
GPAM	NM_020918.5
GPANK1	NM_033177.3
GPATCH8	NM_001002909.3
GPBAR1	NM_001077191.1
GPC1	NM_002081.2
GPC3	NM_004484.3
GPC6	NM_005708.3
GPD1	NM_005276.3
GPD1L	NM_015141.3
GPD2	NM_001083112.2
GPHN	NM_020806.4
GPI	NM_000175.3
GPIHBP1	NM_178172.5
GPR101	NM_054021.1
GPR112	NM_153834.3
GPR125	NM_145290.3
GPR139	NM_001002911.2
GPR143	NM_000273.2
GPR149	NM_001038705.1
GPR152	NM_206997.1
GPR161	NM_001267609.1
GPR174	NM_032553.1
GPR179	NM_001004334.3
GPR180	NM_180989.5
GPR37	NM_005302.3
GPR55	NM_005683.3
GPR56	NM_005682.6
GPR65	NM_003608.3
GPR68	NM_003485.3
GPR75	NM_006794.3
GPR85	NM_001146265.1
GPR88	NM_022049.2
GPRC5A	NM_003979.3
GPRC6A	NM_148963.3
GPRIN1	NM_052899.2
GPRIN3	NM_198281.2
GPS1	NM_212492.1
GPSM1	NM_015597.5
GPSM2	NM_013296.4
GPT	NM_005309.2
GPT2	NM_133443.2
GPX1	NM_000581.2
GPX4	NM_001039848.2
GRASP	NM_181711.3
GRB10	NM_005311.4
GRHL2	NM_024915.3
GRHL3	NM_198174.2
GRHPR	NM_012203.1
GRIA1	NM_001114183.1
GRIA3	NM_000828.4
GRID2	NM_001510.3
GRIK1	NM_000830.3
GRIK2	NM_021956.4
GRIK3	NM_000831.3
GRIN1	NM_007327.3
GRIN2A	NM_000833.4
GRIN2B	NM_000834.3
GRIN3A	NM_133445.2
GRIN3B	NM_138690.1
GRIP1	NM_021150.3
GRIPAP1	NM_020137.4
GRK4	NM_182982.2
GRK5	NM_005308.2
GRM1	NM_001278064.1
GRM5	NM_001143831.2
GRM6	NM_000843.3
GRM7	NM_000844.3
GRN	NM_002087.3
GRPEL1	NM_025196.2
GRPR	NM_005314.2
GRXCR1	NM_001080476.2
GRXCR2	NM_001080516.1
GSC	NM_173849.2
GSDMA	NM_178171.4
GSDMB	NM_001042471.1
GSE1	NM_001134473.2
GSK3B	NM_002093.3
GSN	NM_000177.4
GSR	NM_000637.3
GSS	NM_000178.2
GSTA2	NM_000846.4
GSTA3	NM_000847.4
GSTM3	NM_000849.4
GSTM4	NM_000850.4
GSTO1	NM_004832.2
GSTO2	NM_183239.1
GSTP1	NM_000852.3
GSTZ1	NM_145870.2
GTF2E1	NM_005513.2
GTF2E2	NM_002095.4
GTF2H4	NM_001517.4
GTF2H5	NM_207118.2
GTF2IRD1	NM_016328.2
GTF3C1	NM_001520.3
GTF3C2	NM_001035521.2
GTPBP2	NM_019096.4
GTPBP3	NM_032620.3
GTPBP3	NM_133644.3
GUCA1A	NM_000409.3
GUCA1B	NM_002098.5
GUCY1A3	NM_000856.5
GUCY2C	NM_004963.3
GUCY2D	NM_000180.3
GUF1	NM_021927.2
GUSB	NM_000181.3
GXYLT2	NM_001080393.1
GYG1	NM_004130.3
GYG2	NM_003918.2
GYPA	NM_002099.6
GYPB	NM_002100.5
GYPC	NM_002101.4
GYS1	NM_002103.4
GYS2	NM_021957.3
GZMB	NM_004131.4
H2AFV	NM_201436.2
H2BFWT	NM_001002916.4
H6PD	NM_004285.3
HABP2	NM_004132.3
HACE1	NM_020771.3
HADH	NM_005327.4
HADHA	NM_000182.4
HADHB	NM_000183.2
HAL	NM_002108.3
HAMP	NM_021175.2
HAND1	NM_004821.2
HAND2	NM_021973.2
HAO1	NM_017545.2
HAP1	NM_177977.2
HAPLN4	NM_023002.2
HARS	NM_002109.5
HARS2	NM_012208.3
HAS1	NM_001523.3
HAS2	NM_005328.2
HAUS6	NM_001270890.1
HAUS8	NM_033417.1
HAVCR1	NM_012206.2
HAX1	NM_006118.3
HBA1	NM_000558.4
HBA2	NM_000517.4
HBB	NM_000518.4
HBD	NM_000519.3
HBG1	NM_000559.2
HBG2	NM_000184.2
HBS1L	NM_006620.3
HCAR1	NM_032554.3
HCCS	NM_005333.4
HCFC1	NM_005334.2
HCLS1	NM_005335.5
HCN1	NM_021072.3
HCN2	NM_001194.3
HCN4	NM_005477.2
HCRT	NM_001524.1
HCRTR1	NM_001525.2
HCRTR2	NM_001526.3
HDAC1	NM_004964.2
HDAC3	NM_003883.3
HDAC4	NM_006037.3
HDAC6	NM_006044.2
HDAC8	NM_018486.2
HDC	NM_002112.3
HDLBP	NM_005336.4
HEATR3	NM_182922.2
HELB	NM_033647.3
HELLS	NM_018063.4
HELQ	NM_133636.3
HELZ	NM_014877.3
HELZ2	NM_001037335.2
HENMT1	NM_144584.2
HEPACAM	NM_152722.4
HEPACAM2	NM_001288804.1
HERC1	NM_003922.3
HERC2	NM_004667.5
HES7	NM_032580.3
HESX1	NM_003865.2
HEXA	NM_000520.4
HEXB	NM_000521.3
HEXDC	NM_173620.2
HEY1	NM_012258.3
HFE	NM_000410.3
HFE2	NM_213653.3
HFM1	NM_001017975.4
HGD	NM_000187.3
HGF	NM_000601.4
HGFAC	NM_001297439.1
HGSNAT	NM_152419.2
HHAT	NM_018194.5
HIBCH	NM_014362.3
HID1	NM_030630.2
HIF1A	NM_001530.3
HIF1AN	NM_017902.2
HIGD2A	NM_138820.2
HINT1	NM_005340.6
HIP1	NM_005338.6
HIST1H1E	NM_005321.2
HIST1H2AE	NM_021052.2
HIST1H2BE	NM_003523.2
HIST1H4I	NM_003495.2
HIST3H3	NM_003493.2
HIVEP1	NM_002114.3
HIVEP2	NM_006734.3
HIVEP3	NM_001127714.2
HJURP	NM_018410.4
HK1	NM_000188.2
HK1	NM_033496.2
HK2	NM_000189.4
HLA-A	NM_002116.7
HLA-B	NM_005514.6
HLA-C	NM_002117.5
HLA-DOA	NM_002119.3
HLA-DPB1	NM_002121.5
HLA-DQA1	NM_002122.3
HLA-DQB1	NM_002123.4
HLA-DRA	NM_019111.4
HLA-DRB1	NM_002124.3
HLA-DRB5	NM_002125.3
HLA-E	NM_005516.5
HLA-G	NM_002127.5
HLCS	NM_000411.6
HLX	NM_021958.3
HMBS	NM_000190.3
HMCN1	NM_031935.2
HMGA1	NM_145899.2
HMGA2	NM_003483.4
HMGB3	NM_005342.3
HMGCL	NM_000191.2
HMGCR	NM_000859.2
HMGCS2	NM_005518.3
HMHA1	NM_012292.4
HMOX1	NM_002133.2
HMSD	NM_001123366.1
HMX1	NM_018942.2
HNF1A	NM_000545.5
HNF1B	NM_000458.3
HNF4A	NM_175914.4
HNMT	NM_006895.2
HNRNPA1	NM_031157.2
HNRNPA2B1	NM_031243.2
HNRNPD	NM_031369.2
HNRNPDL	NM_031372.3
HNRNPH1	NM_001257293.1
HNRNPK	NM_002140.3
HNRNPR	NM_001102398.2
HNRNPU	NM_031844.2
HOGA1	NM_138413.3
HOMER2	NM_004839.3
HOMEZ	NM_020834.2
HORMAD1	NM_032132.4
HOXA1	NM_005522.4
HOXA10	NM_018951.3
HOXA11	NM_005523.5
HOXA13	NM_000522.4
HOXA2	NM_006735.3
HOXA4	NM_002141.4
HOXB1	NM_002144.3
HOXB13	NM_006361.5
HOXB6	NM_018952.4
HOXC11	NM_014212.3
HOXC12	NM_173860.1
HOXC13	NM_017410.2
HOXD10	NM_002148.3
HOXD11	NM_021192.2
HOXD13	NM_000523.3
HOXD4	NM_014621.2
HP	NM_005143.3
HPCA	NM_002143.2
HPD	NM_002150.2
HPGD	NM_000860.5
HPRT1	NM_000194.2
HPS1	NM_000195.3
HPS3	NM_032383.3
HPS4	NM_022081.5
HPS5	NM_181507.1
HPS6	NM_024747.5
HPSE2	NM_021828.4
HR	NM_005144.4
HRAS	NM_005343.2
HRC	NM_002152.2
HRG	NM_000412.3
HRH2	NM_022304.2
HRH3	NM_007232.2
HRNR	NM_001009931.2
HS6ST1	NM_004807.2
HSD11B1	NM_005525.3
HSD11B2	NM_000196.3
HSD17B1	NM_000413.2
HSD17B10	NM_004493.2
HSD17B2	NM_002153.2
HSD17B3	NM_000197.1
HSD17B4	NM_000414.3
HSD3B1	NM_000862.2
HSD3B2	NM_000198.3
HSD3B7	NM_025193.3
HSF2	NM_004506.3
HSF4	NM_001040667.2
HSF4	NM_001538.3
HSP90AA1	NM_001017963.2
HSP90B1	NM_003299.2
HSPA1B	NM_005346.4
HSPA1L	NM_005527.3
HSPA8	NM_006597.5
HSPA9	NM_004134.6
HSPB1	NM_001540.3
HSPB3	NM_006308.2
HSPB6	NM_144617.2
HSPB8	NM_014365.2
HSPD1	NM_002156.4
HSPG2	NM_005529.6
HSPH1	NM_006644.3
HTATSF1	NM_001163280.1
HTN3	NM_000200.2
HTR1A	NM_000524.3
HTR1B	NM_000863.1
HTR2A	NM_000621.4
HTR2B	NM_000867.4
HTR2C	NM_000868.3
HTR3A	NM_000869.5
HTR3B	NM_006028.4
HTR3C	NM_130770.2
HTR5A	NM_024012.3
HTR6	NM_000871.2
HTR7	NM_019859.3
HTRA1	NM_002775.4
HTRA2	NM_013247.4
HUS1B	NM_148959.3
HVCN1	NM_001040107.1
HYAL1	NM_153281.1
HYAL2	NM_033158.4
HYDIN	NM_001270974.1
HYLS1	NM_145014.2
IAPP	NM_000415.2
IARS	NM_002161.5
IARS2	NM_018060.3
IBA57	NM_001010867.2
IBSP	NM_004967.3
ICAM1	NM_000201.2
ICAM4	NM_001544.4
ICAM5	NM_003259.3
ICK	NM_016513.4
ICOS	NM_012092.3
ID3	NM_002167.4
IDE	NM_004969.3
IDH1	NM_005896.3
IDH2	NM_002168.3
IDH3B	NM_006899.3
IDO1	NM_002164.5
IDS	NM_000202.6
IDUA	NM_000203.4
IER2	NM_004907.2
IER3IP1	NM_016097.4
IFI30	NM_006332.4
IFIH1	NM_022168.3
IFITM3	NM_021034.2
IFITM5	NM_001025295.2
IFNA10	NM_002171.2
IFNA17	NM_021268.2
IFNA2	NM_000605.3
IFNA4	NM_021068.2
IFNAR1	NM_000629.2
IFNAR2	NM_207585.2
IFNB1	NM_002176.2
IFNE	NM_176891.4
IFNGR1	NM_000416.2
IFNGR2	NM_005534.3
IFNL3	NM_172139.2
IFRD1	NM_001550.3
IFT122	NM_052985.3
IFT140	NM_014714.3
IFT172	NM_015662.2
IFT27	NM_006860.4
IFT43	NM_052873.2
IFT52	NM_001303458.1
IFT80	NM_020800.2
IFT81	NM_014055.3
IGF1	NM_000618.3
IGF1R	NM_000875.4
IGF2	NM_001007139.5
IGF2	NM_001127598.2
IGF2R	NM_000876.2
IGFALS	NM_004970.2
IGFBP1	NM_000596.2
IGFBP3	NM_001013398.1
IGFBP4	NM_001552.2
IGFBP5	NM_000599.3
IGFBP7	NM_001553.2
IGHMBP2	NM_002180.2
IGLL1	NM_020070.3
IGSF1	NM_001170961.1
IGSF10	NM_178822.4
IGSF22	NM_173588.3
IGSF3	NM_001542.3
IGSF8	NM_052868.4
IHH	NM_002181.3
IKBIP	NM_153687.3
IKBIP	NM_201612.2
IKBKAP	NM_003640.3
IKBKB	NM_001556.2
IKBKE	NM_014002.3
IKBKG	NM_001099857.2
IL10	NM_000572.2
IL10RA	NM_001558.3
IL10RB	NM_000628.4
IL11RA	NM_001142784.2
IL12B	NM_002187.2
IL12RB1	NM_005535.2
IL12RB2	NM_001559.2
IL13	NM_002188.2
IL16	NM_004513.5
IL17F	NM_052872.3
IL17RA	NM_014339.6
IL17RB	NM_018725.3
IL17RC	NM_153461.3
IL17RD	NM_017563.3
IL17REL	NM_001001694.2
IL18	NM_001562.3
IL19	NM_013371.3
IL1A	NM_000575.3
IL1B	NM_000576.2
IL1RAPL1	NM_014271.3
IL1RL1	NM_016232.4
IL1RL2	NM_003854.2
IL1RN	NM_173841.2
IL2	NM_000586.3
IL20RA	NM_014432.3
IL20RB	NM_144717.3
IL21	NM_021803.3
IL21R	NM_021798.3
IL23R	NM_144701.2
IL27RA	NM_004843.3
IL2RA	NM_000417.2
IL2RG	NM_000206.2
IL3	NM_000588.3
IL31RA	NM_139017.5
IL36B	NM_014438.4
IL36RN	NM_012275.2
IL4R	NM_000418.3
IL6	NM_000600.3
IL6R	NM_000565.3
IL7R	NM_002185.3
IL9	NM_000590.1
ILDR1	NM_001199799.1
ILK	NM_004517.3
ILVBL	NM_006844.4
IMPA2	NM_014214.2
IMPAD1	NM_017813.4
IMPDH1	NM_000883.3
IMPDH2	NM_000884.2
IMPG1	NM_001563.3
IMPG2	NM_016247.3
INA	NM_032727.3
INADL	NM_176877.2
INCENP	NM_020238.2
INF2	NM_022489.3
INHA	NM_002191.3
INHBA	NM_002192.2
INHBB	NM_002193.2
INMT	NM_006774.4
INO80	NM_017553.2
INO80D	NM_017759.4
INPP4A	NM_001134224.1
INPP4A	NM_001566.2
INPP5E	NM_019892.4
INPP5K	NM_016532.3
INPPL1	NM_001567.3
INS	NM_000207.2
INS-IGF2	NM_001042376.2
INSIG2	NM_016133.2
INSL3	NM_005543.3
INSL6	NM_007179.2
INSR	NM_000208.2
INSRR	NM_014215.2
INTS1	NM_001080453.2
INTS5	NM_030628.1
INTS6	NM_012141.2
INTU	NM_015693.3
INVS	NM_014425.3
IPMK	NM_152230.4
IQCB1	NM_001023570.2
IQCE	NM_152558.4
IQCK	NM_153208.1
IQGAP2	NM_006633.3
IQGAP3	NM_178229.4
IQSEC2	NM_001111125.2
IQSEC3	NM_001170738.1
IRAK1	NM_001569.3
IRAK2	NM_001570.3
IRAK3	NM_007199.2
IRAK4	NM_016123.3
IREB2	NM_004136.2
IRF2BP2	NM_182972.2
IRF3	NM_001571.5
IRF4	NM_002460.3
IRF6	NM_006147.3
IRF7	NM_004031.2
IRF8	NM_002163.2
IRF9	NM_006084.4
IRGM	NM_001145805.1
IRS1	NM_005544.2
IRS2	NM_003749.2
IRS4	NM_003604.2
IRX4	NM_016358.2
IRX5	NM_005853.5
ISCA2	NM_194279.3
ISCU	NM_213595.3
ISG15	NM_005101.3
ISL1	NM_002202.2
ISPD	NM_001101426.3
ISYNA1	NM_016368.4
ITCH	NM_031483.5
ITGA1	NM_181501.1
ITGA11	NM_001004439.1
ITGA2	NM_002203.3
ITGA2B	NM_000419.3
ITGA3	NM_002204.2
ITGA4	NM_000885.4
ITGA5	NM_002205.2
ITGA6	NM_000210.2
ITGA7	NM_002206.2
ITGA8	NM_003638.2
ITGA9	NM_002207.2
ITGAE	NM_002208.4
ITGAM	NM_000632.3
ITGB1	NM_002211.3
ITGB1BP1	NM_004763.3
ITGB2	NM_000211.4
ITGB3	NM_000212.2
ITGB4	NM_001005731.1
ITGB6	NM_000888.4
ITIH1	NM_002215.3
ITIH3	NM_002217.3
ITIH6	NM_198510.2
ITK	NM_005546.3
ITM2B	NM_021999.4
ITM2C	NM_030926.5
ITPA	NM_033453.3
ITPK1	NM_014216.4
ITPKC	NM_025194.2
ITPR1	NM_002222.5
ITPR2	NM_002223.2
ITPR3	NM_002224.3
ITSN1	NM_001001132.1
ITSN2	NM_147152.2
IVD	NM_002225.3
IYD	NM_203395.2
JAG1	NM_000214.2
JAG2	NM_002226.4
JAGN1	NM_032492.3
JAK2	NM_004972.3
JAK3	NM_000215.3
JAM3	NM_032801.4
JARID2	NM_004973.3
JMJD1C	NM_032776.2
JMJD7	NM_001114632.1
JMJD7-PLA2G4B	NM_005090.3
JPH1	NM_020647.2
JPH2	NM_020433.4
JSRP1	NM_144616.3
JUP	NM_002230.2
KAL1	NM_000216.2
KALRN	NM_007064.3
KANK1	NM_015158.3
KANK2	NM_001136191.2
KANK4	NM_181712.4
KANSL1	NM_001193466.1
KANSL2	NM_017822.3
KARS	NM_001130089.1
KAT6A	NM_006766.3
KAT6B	NM_012330.3
KATNAL2	NM_031303.2
KATNB1	NM_005886.2
KBTBD13	NM_001101362.2
KCNA1	NM_000217.2
KCNA2	NM_004974.3
KCNA5	NM_002234.3
KCNAB1	NM_172160.2
KCNB1	NM_004975.2
KCNB2	NM_004770.2
KCNC1	NM_001112741.1
KCNC3	NM_004977.2
KCND2	NM_012281.2
KCND3	NM_004980.4
KCNE1	NM_000219.5
KCNE1L	NM_012282.2
KCNE2	NM_172201.1
KCNE3	NM_005472.4
KCNE4	NM_080671.3
KCNH1	NM_172362.2
KCNH2	NM_000238.3
KCNH2	NM_172057.2
KCNH5	NM_139318.4
KCNH6	NM_030779.3
KCNH7	NM_033272.3
KCNJ1	NM_000220.4
KCNJ10	NM_002241.4
